Bench Mark Random Forest ,Deep Learning 1
0.561541,0.7364632
0.5676606,0.7256823
0.5554811,0.7432317
0.5628095,0.7218834
0.5710931,0.7273801
0.5564018,0.7389395
0.5476907,0.736056
0.5257697,0.7110721
0.5739036,0.7339643
0.5745236,0.7376203
0.5615351,0.6872357
0.561883,0.7156129
0.5537137,0.7363467
0.5615786,0.7487934
0.5667066,0.7656341
0.5566924,0.7764117
0.5555912,0.7192398
0.5678207,0.7401311
0.5636385,0.7463806
0.563676,0.767185
0.5577405,0.7024806
0.5619803,0.7562011
0.5526831,0.7389934
0.5394576,0.7135333
0.5818014,0.746612
