LDA SMOTE ,Rpart Entropy,Rpart Gini,SVM,J48,GLM
0.5057237,0.4602405,0.4595268,0.5320938,0.488212,0.4989695
0.5358802,0.4628837,0.4638021,0.5473141,0.5192823,0.4960543
0.5125829,0.4394154,0.4349366,0.5146044,0.4748539,0.4974472
0.5147682,0.4464318,0.4438859,0.5268694,0.5012115,0.5058507
0.5377336,0.464544,0.464544,0.5406574,0.4926749,0.5160381
0.5140125,0.4636182,0.465765,0.5233268,0.5146454,0.5030815
0.5238962,0.4451782,0.4411305,0.5256306,0.5096833,0.516387
0.512082,0.42754,0.4462239,0.5174377,0.4866307,0.4888251
0.5287302,0.4830695,0.4830695,0.5331968,0.5092497,0.5116155
0.5290162,0.4665721,0.4665721,0.5323514,0.487105,0.5089402
0.525384,0.4569542,0.4540439,0.5420244,0.5000817,0.503936
0.5183143,0.4653926,0.4739301,0.5317606,0.5021093,0.5016929
0.5168788,0.4373068,0.4252453,0.5259909,0.5012061,0.4993254
0.5331001,0.461438,0.4589345,0.5107265,0.491523,0.5148637
0.5114884,0.4550583,0.4532072,0.5242834,0.477322,0.4958204
0.5098902,0.4423888,0.4541447,0.5135417,0.4962933,0.4887447
0.5324968,0.4524029,0.4148415,0.5392996,0.4980623,0.5122752
0.5276735,0.471684,0.4751487,0.5325879,0.4938213,0.5258064
0.5227282,0.4601162,0.4601162,0.5362675,0.5037263,0.5115844
0.5112307,0.4530221,0.4754766,0.5260671,0.4914459,0.5017299
0.5179829,0.4523145,0.4558213,0.5372245,0.4912532,0.505752
0.5137604,0.463864,0.463864,0.541672,0.5059779,0.5056628
0.5133638,0.4483484,0.4560957,0.5239903,0.4954057,0.5041272
0.5125786,0.4335682,0.4369162,0.5152524,0.490596,0.4926958
0.5430263,0.4102785,0.4355917,0.5394985,0.5185054,0.5136953
