Random Forest,Neural Network,Bagging
0.5606704,0.5007312,0.5338562
0.5551988,0.540658,0.5427192
0.5417914,0.5254265,0.5369815
0.5378047,0.5400942,0.5252097
0.5311577,0.5354626,0.5420349
0.5848137,0.5139668,0.5308378
0.5574872,0.5139314,0.5398521
0.5551988,0.4940792,0.4993542
0.5324193,0.5456233,0.5700129
0.5586256,0.5099349,0.550528
0.5509997,0.5202059,0.5405577
0.5478958,0.5482185,0.5312099
0.5479951,0.5265831,0.5336702
0.5551988,0.5163889,0.5290721
0.5690846,0.5310551,0.5297638
0.5537696,0.5095373,0.5368277
0.5591509,0.5251404,0.5246267
0.5533596,0.5149459,0.5360419
0.5536567,0.5120505,0.5365027
0.5551988,0.5325824,0.532527
0.5575806,0.5305484,0.5375063
0.5325221,0.5143071,0.5611712
0.5481889,0.5311442,0.5383873
0.5247872,0.5030752,0.5159348
0.5697064,0.5075587,0.5380628
